Object Number,variable,artist
1997.382.34,0,"Fenton, Roger"
1997.382.35,0,"Fenton, Roger"
1997.382.38,0,"Cameron, Julia Margaret"
1997.382.41,0,"Whipple, John Adams"
1997.382.46,0,"Moulin, Félix-Jacques-Antoine"
1997.460.1a–d,0,MEMPHIS MILANO
1997.460.1a–d,1,"Sottsass, Ettore"
1997.4ab,0,"Kiefer, Anselm"
1997.61.19,0,"Stieglitz, Alfred"
1997.61.25,0,"Stieglitz, Alfred"
1997.93,0,"Spranger, Bartholomeus"
1998.121,0,"Pons, Joseph"
1998.132,0,"Nègre, Charles"
1998.21,0,"Ingres, Jean Auguste Dominique"
1998.21,1,"Kaunitz-Rietberg, Prince Wenzel von"
1998.225,0,"Poussin, Nicolas"
1998.311.1,0,"Smith, David"
1998.329,0,"Johns, Jasper"
1998.338,0,"Chauvassaignes, Franck-François-Genès"
1998.365,0,"Sargent, John Singer"
1998.431.1a–e,0,"Rosenquist, James"
1998.431.1a–e,1,Hugo Boss
1998.479,0,Simca Print Artists Inc.
1998.479,1,"Johns, Jasper"
"1998.493.189a, b",0,Sant'Angelo Giorgio
1998.57,0,"Tournachon, Adrien"
1998.57,1,Nadar
1998.57,2,"Deburau, Jean-Charles"
1998.7,0,Pere Alexandre & Fils
1999.103,0,Ezra
1999.176,0,"Dewing, Thomas Wilmer"
1999.18,0,"Mead, Larkin Goldsmith"
1999.19,0,"Farrer, Henry"
1999.2,0,"Muniz, Vik"
1999.21,0,"Ruff, Thomas"
1999.222,0,"Rubens, Peter Paul"
1999.237.4,0,"Evans, Walker"
1999.24,0,"Rovner, Michal"
1999.26,0,Amati Andrea
1999.27.1a-c-5,0,"Saarinen, Eliel"
1999.27.1a-c-5,1,WILCOX SILVER
"1999.307 a,b",0,"Porthaux, Dominique Antony"
1999.363.15,0,"Chirico, Giorgio de"
1999.363.16,0,"Dalí, Salvador"
1999.363.20,0,"Dubuffet, Jean"
1999.363.22,0,"Giacometti, Alberto"
1999.363.41,0,"Matisse, Henri"
1999.363.50,0,"Miró, Joan"
1999.363.53,0,"Miró, Joan"
1999.38,0,"Abbott, Berenice"
1999.396,0,"Belter, J. H."
1999.399,0,"Adhikari, Murari"
1999.494a–h,0,Galliano John
1999.494a–h,1,"Dior, House of"
1999.58a–d,0,"Jacobs, Marc"
1999.58a–d,1,Vuitton Louis
1999.93,0,Prince Lu
20.155.1,0,"Gainsborough, Thomas"
20.155.11,0,"Riesener, Jean Henri"
20.155.3,0,"Reynolds, Joshua, Sir"
20.155.8,0,"Greuze, Jean-Baptiste"
20.155.9,0,"Boucher, François"
20.24.76,0,"Peruzzi, Baldassare Tommaso"
20.24.76,1,"Carpi, Ugo da"
2000.127,0,"Lonberg-Holm, Knud"
2000.13,0,"Le Gray, Gustave"
2000.151,0,"Peale, Rembrandt"
2000.272,0,"Prince, Richard"
2000.278.1-.9,0,"Hoffmann, Josef"
2000.278.1-.9,1,Wiener Werkstätte
2000.51,0,"Friedrich, Caspar David"
2000.512,0,"Whistler, James McNeill"
2000.600.15,0,"Rohde, Gilbert"
2000.600.15,1,"Miller, Herman Inc."
2000.63a-c,0,"Brandt, Marianne"
2001.153,0,"Hannock, Stephen"
2001.293,0,"Smithson, Robert"
2001.402a,0,"Tanner, Henry Ossawa"
2001.474,0,"Arbus, Diane"
2001.608.1,0,"Homer, Winslow"
2001.641,0,"Saint-Gaudens, Augustus"
2001.642,0,Bamen Tomotsugu
2001.723,0,"Fouquet, Georges"
"2001.742a, b",0,Comme des Garçons
"2001.742a, b",1,Watanabe Junya
2002.1,0,"West, Benjamin"
2002.115,0,Imperial Armory
2002.190a–n,0,Courtois frères
2002.21.1,0,"Rush, William"
2002.259,0,"Kilburn, (or Kilbrunn) Lawrence"
2002.26,0,"Friedrich, Caspar David"
2002.323 a-f,0,Langenbucher Veit
2002.323 a-f,1,"Bidermann, Samuel"
2002.365,0,"Ruhlmann, Émile-Jacques"
2002.365,1,"Gaudissard, Emile"
2002.436,0,"Lorenzetti, Pietro"
2002.456.1,0,"Carrington, Leonora"
2002.456.111,0,"Giacometti, Alberto"
2002.468,0,Permoser Balthasar
"2003.12a, b",0,Studio 65
"2003.12a, b",1,Gufram
2003.150a–g,0,Esposito Giosue
2003.241,0,'Abd al-Qadir Hisari
2003.269,0,"Hammons, David"
2003.27,0,"Matta, Roberto"
2003.323,0,"Graf, Urs"
2003.442,0,Gucci
2003.442,1,Ford Tom
2003.462,0,Alexander McQueen
2003.462,1,McQueen Alexander
2003.63a–d,0,Unknown
"2003.68a, b",0,Armani Giorgio
2004.442,0,Duccio di Buoninsegna
2005.100.1,0,"Aguado de las Marismas, Onésipe"
2005.100.109,0,"Watkins, Carleton E."
2005.100.116,0,"Seeley, George H."
2005.100.140,0,Man Ray
2005.100.27,0,"Cameron, Julia Margaret"
2005.364.1a–d–.48,0,Fourteen identified German (Augsburg) goldsmiths and other Germa
2005.365,0,Garion
2005.390a-c,0,"Rauschenberg, Robert"
2005.44.2,0,Adrover Miguel
2006.277a-fff,0,"Tinguely, Jean"
2006.32.15,0,"Ernst, Max"
2006.32.49,0,"Oldenburg, Claes"
2006.32.5,0,"Calder, Alexander"
"2006.420.51a, b",0,Saint Laurent Yves
"2006.420.51a, b",1,"Saint Laurent Yves, Paris"
2006.452a–c,0,Redlin Michel
"2006.519a, b",0,"Dugourc, Jean Démosthène"
"2006.519a, b",1,"Pernon, Camille"
2006.86a–c,0,"Scherer, Georg Henrich"
2006.91,0,"Wall, Jeff"
2007.194a–f,0,Teijo Goto
2007.194a–f,1,Gotō Yūjō
2007.27,0,"Hoentschel, Georges"
2007.27,1,Grittel Èmile
2007.329,0,Unidentified Artist
2007.442,0,"Voiriot, Guillaume"
2007.95,0,"Hepworth, Barbara"
2007.96,0,"Anatsui, El"
2008.1,0,Grancino Giovanni
2008.121,0,"Anatsui, El"
2008.253,0,"Leyden, Lucas van"
2008.278,0,Hans of Landshut
2008.29,0,"Kapoor, Anish"
2008.312,0,Bhawani Das
2008.459,0,Valentin de Boulogne
2008.547.1,0,"Gérôme, Jean-Léon"
2009.28,0,Anonymous
2009.28,1,"Amman, Jost"
2009.28,2,Anonymous Flemish weavers
2009.300.816,0,James Charles
2009.58,0,"Briosco, Andrea, called Riccio"
2009.8a–c,0,"Jackson, Samuel"
201.9 Av3,0,"Avery, Samuel Putnam, Sr."
201.9Av3 Av32,0,"Avery, Samuel Putnam, Sr."
201.9F88 B73,0,Brainerd Ira Hutchinson
2010.121,0,"Struth, Thomas"
2010.138.1-.4,0,Bunsen Franz Peter
2010.23,0,"Gros, Jean-Baptiste-Louis"
2010.24,0,"Messerschmidt, Franz Xaver"
2010.466,0,"Fitch, Julia Ann"
2011.36,0,Perino del Vaga (Pietro Buonaccorsi)
2012.99,0,"Bassano, Jacopo (Jacopo da Ponte)"
2014.173,0,"Enríquez, Nicolás"
2014.269,0,"Rodríguez Juárez, Juan"
21.115.4,0,"Whittredge, Worthington"
21.164,0,"Glackens, William James"
216.7 T71,0,"Andrews, William Loring"
216.7 T71,1,Berners Juliana
217.08  W881,0,Woolnough Charles W.
22.16.17,0,"Cassatt, Mary"
"22.19a, b",0,"Targee, John"
22.207,0,"Homer, Winslow"
22.61,0,"MacMonnies, Frederick William"
22.75,0,"Sarto, Andrea del (Andrea d'Agnolo)"
221.1 K63,0,Kirchner Athanasius
226 B641,0,"Buonanni, Filippo"
23.101,0,"Cassatt, Mary"
23.102,0,"Healy, George P. A."
23.163.4a,0,"Morris, William"
23.163.4a,1,Morris & Company
23.163.4a,2,Jeffrey & Co.
23.31.1,0,"Picasso, Pablo"
23.31.1,1,"Fort, Louis"
23.31.1,2,"Vollard, Ambroise"
230.51 N55,0,Tong zhi tang
230.51 N55,1,"Nie, Chongyi"
239 B63 Q,0,Boch Jean
239 B63 Q,1,"Borcht, Peeter van der"
"24.179; 26.188.1, .2; 29.158.363a, b",0,"Helmschmid, Kolman"
24.197.2,0,Michelangelo Buonarroti
24.241.2,0,Toft Thomas
24.45.1,0,"Poussin, Nicolas"
24.97.104,0,Tarporley Painter
240.7 T344 F,0,Elseviers
240.7 T344 F,1,Boslwert A.
240.7 T344 F,2,Thibault Girard
25.115.15,0,"Armitt, Joseph"
25.120.288,0,Bartolo di Fredi
25.17,0,"Ostendorfer, Michael"
25.17,1,"Apianus, Petrus"
25.17,2,"Apianus, Georg and Petrus"
25.231.1,0,"Ruhlmann, Émile-Jacques"
25.78.56,0,Polykleitos
250 T34,0,"Dézallier d'Argenville, Antoine Joseph"
254 B63,0,"Böckler, Georg Andreas"
26.117,0,Kōrin
26.12,0,"French, Daniel Chester"
"26.145.243a, b",0,"Deutschmann, Joseph"
"26.145.315a, b",0,Morisset James
26.168.77,0,"Biennais, Martin-Guillaume"
26.168.77,1,"Percier, Charles"
26.168.77,2,Jacob-Desmalter François-Honoré-Georges
26.168.77,3,"Denon, Dominique Vivant Baron"
26.49,0,Nearchos
26.54,0,Webb Philip
26.54,1,"Burne-Jones, Edward, Sir"
26.54,2,"Morris, Marshall, Faulkner & Co."
26.72.68,0,"Altdorfer, Albrecht"
26.9,0,"Böcklin, Arnold"
26.97,0,"Johnson, Eastman"
27.137,0,"Zurbarán, Francisco de"
270.52 T49,0,"Hunter, Dard"
270.52 T49,1,"Tindale, Thomas & Harriet R."
272.4 Au8,0,"Avery, Samuel Putnam, Sr."
273.4 G76,0,"Grand-Carteret, John"
273.4 G76,1,"Régamey, Félix"
273.4D26 AL2,0,"Daumier, Honoré"
273.4D26 AL2,1,"Alexandre, Arsène"
28.221,0,"Cranach, Lucas, the Elder"
"28.52a, b",0,New Bremen Glass Manufactory 
"28.52a, b",1,"Amelung, John Frederick"
28.57.23,0,Persephone Painter
29.100.115,0,"Manet, Édouard"
29.100.129,0,"Daumier, Honoré"
29.100.16,0,Bronzino (Agnolo di Cosimo di Mariano)
29.100.200,0,"Daumier, Honoré"
29.100.23,0,"Ingres, Jean Auguste Dominique"
29.100.370,0,"Degas, Edgar"
29.100.370,1,HÉBRARD A. A.
29.100.5,0,"Greco, El (Domenikos Theotokopoulos)"
29.100.53,0,"Manet, Édouard"
29.100.565,0,"Corot, Camille"
29.100.57,0,"Courbet, Gustave"
29.100.6,0,"Greco, El (Domenikos Theotokopoulos)"
29.100.66,0,"Cézanne, Paul"
29.100.939,0,Rembrandt (Rembrandt van Rijn)
29.107.28,0,Rembrandt (Rembrandt van Rijn)
3.3,0,"Delacroix, Eugène"
30.5,0,"La Farge, John"
31.109,0,"Copley, John Singleton"
31.11.10,0,Amasis Painter
31.11.11,0,Lydos
31.11.13,0,Eretria Painter
31.11.5,0,Epimenes
31.45,0,"David, Jacques Louis"
31.62,0,"Hopper, Edward"
32.100.43,0,Rogier van der Weyden
32.12,0,Rose Joseph
32.12,1,Gilbert John
32.12,2,John Devall & Co.
32.12,3,"Adam, Robert"
32.130.2,0,"Mantegna, Andrea"
32.130.6a–y,0,"Halder, Jacob"
33.120.221,0,"Winslow, Edward"
33.164a–x,0,"Lochner, Kunz"
33.165.1,0,"Germain, François Thomas"
33.23,0,de Werve Claus
33.43.132,0,"Käsebier, Gertrude"
33.43.303,0,"White, Clarence H."
33.43.334,0,"Strand, Paul"
33.43.343,0,"Sheeler, Charles"
33.43.36,0,"Steichen, Edward J."
33.43.39,0,"Steichen, Edward J."
33.43.43,0,"Steichen, Edward J."
33.43.44,0,"Steichen, Edward J."
33.43.47,0,"Steichen, Edward J."
33.61,0,"Bingham, George Caleb"
"33.65.11, .226",0,"Gardner, Alexander"
"33.65.11, .226",1,"Brady, Mathew B."
33.7,0,Abu'l Qasim Firdausi
33.92ab,0,"Eyck, Jan van"
34.100.124,0,"Roth, Heinrich"
34.134,0,"La Farge, John"
34.138,0,"Watteau, Antoine"
34.73,0,"Ribera, Jusepe de (called Lo Spagnoletto)"
34.86.1 a,0,"Stradivari, Antonio"
34.86.2 a,0,"Stradivari, Antonio"
34.92,0,"Eakins, Thomas"
35.27,0,"Schongauer, Martin"
35.42,0,Goya (Francisco de Goya y Lucientes)
"36.120.417a, b, .418a–c",0,Sukemitsu of Bizen
"36.120.417a, b, .418a–c",1,Yasumitsu
"36.120.417a, b, .418a–c",2,Iwamoto Konkan
36.120.79,0,Ishiguro Masayoshi
36.14a–c,0,"Patinir, Joachim"
36.37 (25),0,"Talbot, William Henry Fox"
37.165.107,0,"Watteau, Antoine"
37.45.3(27),0,"Piranesi, Giovanni Battista"
37.45.3(27),1,"Bouchard, Giovanni"
38.34,0,"Southworth, Albert Sands"
38.34,1,"Hawes, Josiah Johnson"
38.34,2,Southworth and Hawes
38.59,0,"Furman, Warner Williams Sarah"
38.63,0,"Kierstede, Cornelius"
39.121a–n,0,"Cousin, Jean, the Elder"
39.121a–n,1,"Delaune, Étienne"
39.121a–n,2,"Pellerin, Baptiste"
39.153,0,"Maiano, Giuliano da"
39.153,1,Francesco di Giorgio Martini
39.153,3,Benedetto da Maiano
39.52,0,"Peale, James"
39.65.53,0,"Saint-Gaudens, Augustus"
39.68.27,0,"Lucas, David"
39.68.27,1,"Constable, John"
41.1.31,0,Rembrandt (Rembrandt van Rijn)
41.100.132,0,de Liège Jean
41.100.23,0,"Martini, Simone"
41.138,0,Unidentified Artist
41.82,0,"Roentgen, David"
41.82,1,"Zick, Januarius"
41.82,2,"Chippendale, Thomas"
42.154,0,"Curry, John Steuart"
42.155,0,"Blume, Peter"
42.167,0,"Lawrence, Jacob"
42.22,0,"Kuntz, Jacob"
42.50.16,0,"Treviso, Girolamo da"
42.50.2,0,LIONARDO
43.106.1,0,"Dürer, Albrecht"
43.13,0,"Murillo, Bartolomé Estebán"
43.159.1,0,"Benton, Thomas Hart"
43.86.4,0,"Copley, John Singleton"
43.87.17,0,"Eakins, Thomas"
43.87.23,0,"Eakins, Thomas"
"44.21a, b",0,Clodion (Claude Michel)
45.128.5,0,Pesquera Diego de
45.62.1,0,"Morse, Samuel F. B."
"46.140.767a, b",0,Boston and Sandwich Glass Company
46.16,0,"Poussin, Nicolas"
46.192.4,0,"Smith, John Rubens"
46.25.1a–d,0,"Worth, Charles Frederick"
46.25.1a–d,1,"Worth, House of"
46.43.4,0,"Le Brun, Charles"
46.43.4,1,Lemoyen le Lorrain Jean
46.43.4,2,"Convent of Saint Joseph-de-la-Providence, Paris"
46.43.4,3,Montespan Marquise de
47.106,0,"Picasso, Pablo"
47.26,0,"Burne-Jones, Edward, Sir"
48.190.2,0,"Gogh, Vincent van"
48.81,0,"Miller, Sally"
49.12,0,"Copley, John Singleton"
49.24,0,"Chardin, Jean Siméon"
49.3,0,"Gogh, Vincent van"
49.38,0,"Fouquet, Jean"
49.55.327,0,"de Meyer, Adolf"
49.55.35,0,"Stieglitz, Alfred"
49.59.1,0,"Demuth, Charles"
49.7.10,0,"Lippi, Filippino"
49.7.108,0,LIMOSIN LÉONARD
49.7.16,0,Titian (Tiziano Vecellio)
49.7.19,0,"Christus, Petrus"
49.7.21,0,"David, Gerard"
49.7.41,0,Goya (Francisco de Goya y Lucientes)
49.7.49,0,"Fragonard, Jean Honoré"
49.70.1,0,"Kandinsky, Vasily"
49.70.105,0,"Marin, John"
49.70.42,0,"Hartley, Marsden"
50.102.4,0,"Soudbinine, Séraphin"
50.102.4,1,"Dunand, Jean"
50.11.4,0,Group of Boston 00.348
50.117,0,"Wood, Grant"
50.135.4,0,"Holbein, Hans, the Younger"
50.135.5,0,"Lawrence, Thomas, Sir"
50.145.66,0,"Houdon, Jean Antoine"
50.145.8,0,"Constable, John"
50.164,0,Riza-yi `Abbasi
50.228.3,0,"Gardner, Caleb"
50.583.4,0,"Dyck, Anthony van"
51.112.1,0,"Cézanne, Paul"
51.112.2,0,"Gauguin, Paul"
51.112.5,0,"Rousseau, Henri (le Douanier)"
51.33.2,0,"Toulouse-Lautrec, Henri de"
51.56,0,Ja'far ibn Muhammad ibn `Ali
51.9,0,Leonardo da Vinci
52.184,0,"Vanderlyn, John"
52.203,0,"O'Keeffe, Georgia"
52.81,0,Caravaggio (Michelangelo Merisi)
526 R82,0,Royal Asiatic Society
526 R82,1,Cambridge University Press
53.223,0,"Sax, Charles Joseph"
53.225.52,0,"Palissy, Bernard"
53.56.11,0,"Richters, Hendrik"
53.87a-i,0,"Noguchi, Isamu"
53.9,0,"Davis, Stuart"
532 Eg961,0,"Belzoni, Giovanni Battista"
532 L551,0,"Lepsius, Richard"
532 L551,1,"Naville, Édouard F."
532 L551,2,"Borchardt, Ludwig"
"54.1.1a, b",0,The Limbourg Brothers
54.1.2,0,PUCELLE JEAN
54.167,0,"Myers, Myer"
543.1N48 M97 Q,0,Curtius Ernst
543.1N48 M97 Q,1,"Cesnola, Luigi Palma di"
55.119,0,Claude Lorrain (Claude Gellée)
55.121.10.22,0,Govardhan
55.121.10.22,1,Mir 'Ali Haravi
55.121.10.24,0,Chitarman
55.44,0,"Ibn al-Suhrawardi al-Bakri, Ahmad"
55.44,1,Muhammad ibn Aibak ibn 'Abdallah
55.86 a-c,0,"Stradivari, Antonio"
55.93,0,"Antico (Alari Bonacolsi, Pier Jacopo)"
551 G41,0,"Apvd Gvlielmvm, svb scvto veneto"
551 G41,1,"Gilles, Pierre"
56.105,0,"Pajou, Augustin"
56.11.1,0,Amasis Painter
56.171.38,0,Berlin Painter
56.171.64,0,Lycurgus Painter
56.205.1,0,"Gorky, Arshile"
56.228,0,"Brugghen, Hendrick ter"
56.70a–c,0,"Campin, Robert"
57.130.7,0,"Belter, J. H."
57.51.21,0,'Abdullah ibn al-Fadl
57.51.23,0,Badi' al-Zaman ibn al-Razzaz al-Jazari
57.51.23,1,Farrukh ibn `Abd al-Latif
57.51.26,0,Shah Quli
57.92,0,"Pollock, Jackson"
58.57a–d,0,"Vignola, Jacopo [Giacomo] Barozzi da"
58.57a–d,1,"Porta, Guglielmo della"
58.57a–d,2,Mynardo Giovanni
58.75.1–.22,0,Rose Joseph
58.75.1–.22,1,"Boucher, François"
58.75.1–.22,2,Manufacture Nationale des Gobelins
58.75.1–.22,3,"Jacques, Maurice"
58.75.1–.22,4,"Tessier, Louis"
58.75.1–.22,5,Mayhew John
58.75.1–.22,6,Ince William
58.75.1–.22,7,"Neilson, Jacques"
58.75.1–.22,8,"Soufflot, Jacques Germain"
58.75.1–.22,9,"Wilton, Joseph"
58.75.1–.22,10,Wildsmith John
58.75.1–.22,11,Blockley Thomas
58.75.1–.22,12,"Alken, Sefferin"
58.75.1–.22,13,Langlois Peter
58.75.1–.22,14,"Hobcraft, John"
58.75.1–.22,15,Ince and Mayhew
58.75.1–.22,16,"Adam, Robert"
58.75.25,0,Baudoin Joseph-François-Xavier
58.75.25,1,"Jacob, Georges"
58.75.88a–c,0,"Dodin, Charles Nicolas"
58.75.88a–c,1,"Duplessis, Jean-Claude"
58.75.88a–c,2,Sèvres Manufactory
58.89,0,"Steen, Jan"
59.12,0,"Turner, Joseph Mallord William"
59.166,0,"Peale, Raphaelle"
59.76,0,"Blake, George Henry"
59.76,1,Érard
6.1234,0,"Homer, Winslow"
6.1312,0,Nunns Robert
6.1312,1,Clark John
6.306,0,"Vonnoh, Bessie Potter"
6.311,0,Kephisodotos
"60.29.1a, b",0,"Fisher, Robert"
60.3,0,"La Tour, Georges de"
60.4.1,0,"Phyfe, Duncan"
60.87,0,"Picasso, Pablo"
61.101.1,0,"Cézanne, Paul"
61.101.16,0,"Seurat, Georges"
61.101.17,0,"Seurat, Georges"
61.198,0,Rembrandt (Rembrandt van Rijn)
61.200.1,0,Master of the Codex of Saint George
62.126,0,"Castiglione, Giovanni Benedetto (Il Grechetto)"
62.16,0,"McIntire, Samuel"
62.189,0,Workshop of Biduinus
62.256.3,0,"Hicks, Edward"
62.55,0,"Houdon, Jean Antoine"
62.79.1,0,"Smibert, John"
62.79.2,0,"Smibert, John"
62.95,0,"Hopper, Edward"
62.96,0,de Touyl Jean
63.1,0,"David, Jacques Louis"
63.11.6,0,Andokides
63.11.6,1,Andokides Painter
63.11.6,2,Lysippides Painter
63.178.1,0,Muslim Ibn al-Dahhan
63.201.1,0,"Hathaway, Rufus"
63.210.11,0,Farid al-Din `Attar
63.210.11,1,Habiballah
63.350.246.206.378,0,American Tobacco Company
63.4,0,Martínez Montañés Juan
63.73,0,"Kelly, Ellsworth"
64.148,0,"Klimt, Gustav"
64.79,0,Cobb John
64.79,1,"Vile, William"
65.167.6,0,"Finlay, John"
65.167.6,1,"Finlay, Hugh"
65.247,0,"Motherwell, Robert"
65.47,0,"Imperial Porcelain Manufactory, St. Petersburg"
65.49,0,"Beaux, Cecilia"
66.113,0,"Cropsey, Jasper Francis"
66.126,0,"Mount, William Sidney"
66.143,0,"La Farge, John"
66.244.1-.25,0,"Lévy-Dhurmer, Lucien"
67.110.1,0,"Canova, Antonio"
67.110.1,1,Tarnowski Jan and Valeria Count and Countess
67.187.121,0,"Bellows, George"
67.187.123,0,"Chase, William Merritt"
67.187.53a-c,0,"Beckmann, Max"
67.197,0,Lemoyne Jean-Louis
67.232,0,"Louis, Morris"
67.241,0,"Monet, Claude"
67.25,0,"Carpeaux, Jean-Baptiste"
67.855,0,"Aetna Silkscreen Products, Inc."
67.855,1,Du-Art Displays
67.855,2,"Warhol, Andy"
67.855,3,Factory Additions
68.1,0,"Bonnard, Pierre"
68.100.1,0,"Roux, Alexander"
68.141.81a–f,0,Pantin Simon I
68.148,0,Bastis Master
68.185,0,"Graham, John"
69.113,0,"Robbia, Andrea della"
"69.140a, b",0,Herter Brothers
69.27,0,Hatifi
69.27,1,Suzi
69.88,0,"Siloe, Gil de"
7.122,0,"Renoir, Auguste"
7.123,0,"Bierstadt, Albert"
7.16,0,"Stuart, Gilbert"
7.79,0,"Remington, Frederic"
72.3,0,"Powers, Hiram"
74.24,0,"Kensett, John Frederick"
75.7.2,0,Piero di Cosimo (Piero di Lorenzo di Piero d'Antonio)
"77.9a, b",0,"Whitehouse, James Horton"
"77.9a, b",1,Tiffany & Co.
"77.9a, b",2,"Soligny, Eugene J."
"77.9a, b",3,"Saint-Gaudens, Augustus"
8.228,0,"Cole, Thomas"
80.1.2,0,"Richards, William Trost"
87.25,0,"Bonheur, Rosa"
87.8.8,0,"Inness, George"
88.5a–d,0,"Story, William Wetmore"
89.15.19,0,"Lippi, Fra Filippo"
89.15.21,0,"Vermeer, Johannes"
89.21.1,0,"Bastien-Lepage, Jules"
89.4.1097,0,"Naeplaesnigg, Andreas"
89.4.1191,0,"Hauslaib, Lorenz"
89.4.1191,1,"Cuntz, Steffan"
89.4.1196,0,Grouwels Lodewijck
89.4.1219,0,Cristofori Bartolomeo
89.4.1236,0,Hayashi Kodenji
89.4.2058,0,Sioux
89.4.2375,0,Haas Johann Wilhelm
"89.4.2631 a, b",0,Athabascan Family
"89.4.28 a, b",0,Elevated Tone Workshop
89.4.2883,0,"Voll, Georg"
89.4.2929a–e,0,"Todini, Michele"
89.4.2929a–e,1,"Onofri, Basilio"
89.4.2929a–e,2,"Reiff, Jacob"
89.4.909,0,"Gahn, Johann Benedikt"
89.4.912,0,"Boekhout, Thomas Coenraet"
89.4.924,0,Claude Laurent
89.4.926,0,Ganda
9.95,0,"Church, Frederic Edwin"
903.6 R541 F,0,"Haghe, Louis"
903.6 R541 F,1,Croly George Rev.
903.6 R541 F,2,"Roberts, David"
91.1.535a–h,0,‘Umar ibn Yusuf ibn ‘Umar ibn ‘Ali ibn Rasul al-Muzaffari
911.1. M362,0,Martinellie Domenico
912.1 K63 Q,0,Kirchner Athanasius
912.63 D23,0,"Dapper, Olfert"
916.3 An4 F,0,Angas George French
920.3 W52 F,0,"Westmacott, Richard, Sir"
920.84 M292,0,Malory Thomas Sir
920.84 M292,1,"Beardsley, Aubrey Vincent"
926.1 M642,0,"Milton, John"
94.14,0,"Powers, Hiram"
94.4.172,0,"Wedgwood and Sons, Josiah"
94.9.3,0,"Palmer, Erastus Dow"
959.9 M292,0,Malthus Francis
96.17.10,0,"Tiffany, Louis Comfort"
96.17.10,1,Tiffany Glass and Decorating Company
96.29,0,"Turner, Joseph Mallord William"
97.13.1,0,"Crawford, Thomas"
97.19,0,"MacMonnies, Frederick William"
97.29.3,0,"Pratt, Matthew"
97.33,0,"Peale, Charles Willson"
97.34,0,"Leutze, Emanuel"
99.2,0,Tiffany & Co.
99.2,1,"Curran, John T."
99.31,0,"Turner, Joseph Mallord William"
AE25 .E53 1751 Q,0,Briasson
AE25 .E53 1751 Q,1,"Diderot, Denis"
AE25 .E53 1751 Q,2,"Alembert, Jean Le Rond d'"
AE25 .E531 1762 Q,0,"Mouchon, Pierre"
AE25 .E531 1762 Q,1,Briasson
AE25 .E531 1762 Q,2,"Alembert, Jean Le Rond d'"
AE25 .E531 1762 Q,3,"Diderot, Denis"
AE25 .E532 1758 Q,0,"Diodati, Ottaviano"
AE25 .E532 1758 Q,1,"Giuntini, Vincenzo"
AE25 .E532 1758 Q,2,"Alembert, Jean Le Rond d'"
AE25 .E532 1758 Q,3,"Diderot, Denis"
AE25 .E533 1765 Q,0,"Giuntini, Vincenzo"
AE25 .E533 1765 Q,1,"Diderot, Denis"
AY831 .Z7 1783,0,"Houry, Laurent Charles d'"
AY831 .Z7 1784,0,"Hérissant, La Veuve"
AY831 .Z7 1784,1,"Collombat, Jacques"
AY831 .Z7 1784a,0,"Houry, Laurent Charles d'"
AY831 .Z7 1788,0,"Houry, Laurent Charles d'"
AY831 .Z7 1792,0,"Houry, Laurent Charles d'"
AY831 .Z7 1792,1,Imprimerie de Testu
BF207 .L4 1972,0,"Alpert, Richard"
BF207 .L4 1972,1,"Metzner, Ralph"
BF207 .L4 1972,2,"Leary, Timothy"
BF209.M4 M5313 1963,0,"Michaux, Henri"
BS75 1785b Q,0,"Didot, François Ambroise"
BS75 1785b Q,1,"Gibbs, Josiah W. (Josiah Willard)"
BV4823 .D48 1741,0,"Humblot, Antoine"
BV4823 .D48 1741,1,"Guélard, J. B."
BV4823 .D48 1741,2,"Duflos, Claude"
BV4834 .A75 1696,0,Arndts Johan
BX2010 .A2 1794,0,"Mazzinelli, Alessandro"
BX2010 .A2 1794,1,"Pacetti, Giovanni Battista"
BX2010 .A2 1794,2,Catholic Church
BX2010 .A2 1794,3,"Passeri, Giuseppe"
BX2010 .A2 1794,4,"Carracci, Annibale"
BX2010 .A2 1794,5,Salvioni
BX2016.A5 F7 1792,0,Catholic Church
BX2016.A5 F7 1792,1,Langlois
BX9454 .S25 1688,0,Arnold Seneuse
BX9454 .S25 1688,1,Denis de Sainte-Marthe
C.I.42.33.3,0,"Molyneux, Edward"
C.I.44.64.8a–c,0,"Chanel, Gabrielle ""Coco"""
C.I.44.64.8a–c,1,"Chanel, House of"
"C.I.45.27a, b",0,Maison Léoty
"C.I.46.4.18a, b",0,"Lanvin, Jeanne"
"C.I.46.4.18a, b",1,"Lanvin, House of"
C.I.46.4.20a–c,0,"Worth, House of"
"C.I.46.57a, b",0,Rosenstein Nettie
C.I.50.110a–j,0,Mainbocher
C.I.50.44,0,"Fortuny, Mariano"
C.I.50.44,1,Fortuny
C.I.51.83,0,Schiaparelli Elsa
C.I.52.18.4,0,"Vionnet, Madeleine"
C.I.52.5.2,0,Reboux Caroline
C.I.53.40.7a–e,0,"Dior, Christian"
C.I.53.40.7a–e,1,"Dior, House of"
C.I.53.73,0,James Charles
"C.I.54.16.1a, b",0,"Chanel, Gabrielle ""Coco"""
"C.I.54.16.1a, b",1,"Chanel, House of"
C.I.57.17.3,0,Weeks
"C.I.58.13.6a, b",0,"Balenciaga, Cristobal"
"C.I.58.13.6a, b",1,Balenciaga House of
C.I.58.25a–c,0,"Adrian, Gilbert"
C.I.58.34.30,0,"Dior, Christian"
C.I.58.34.30,1,"Dior, House of"
"C.I.58.49.4a, b",0,McCardell Claire
