artist
Black Stone Press
"Blackburn, Joseph"
"Blaeu, Johannes"
"Blake, George Henry"
"Blanc, Charles"
"Blass, Bill"
Blemly William Ignatius
Blockley Thomas
"Blume, Peter"
"Boccaccio, Giovanni"
"Boccalini, Traiano"
"Boccioni, Umberto"
Boch Jean
"Boekhout, Thomas Coenraet"
"Boileau Despréaux, Nicolas"
"Boito, Camillo"
"Bonheur, Rosa"
"Bonnard, Pierre"
"Bononome, Giuseppe"
Bonwit Teller & Co.
"Borch, Gerard ter, the Younger"
"Borchardt, Ludwig"
"Borcht, Peeter van der"
Boslwert A.
Boston and Sandwich Glass Company
"Botero, Fernando"
Botticelli (Alessandro di Mariano Filipepi)
"Bouchard, Giovanni"
"Boucher, François"
"Bouillat père, Edme François"
"Boulle, André Charles"
"Bourgeois, Louise"
Bousch Valentin
"Boutet, Nicholas-Noël"
"Bozerian, Jean Claude"
"Brady, Mathew B."
Brainerd Ira Hutchinson
"Brancusi, Constantin"
Brandely Jean
"Brandt, Bill"
"Brandt, Marianne"
"Braque, Georges"
Brassaï
"Braun, Adolphe"
"Bret, M. (Antoine)"
"Briani, Girolamo"
Briasson
"Briosco, Andrea, called Riccio"
Bronzino (Agnolo di Cosimo di Mariano)
"Broodthaers, Marcel"
"Brotto, Carlo Bertoncello"
"Brown, W. and O'Neil A."
"Bruegel, Pieter, the Elder"
"Brueghel, Jan, the Elder"
"Brugghen, Hendrick ter"
"Brun, J. C. A."
Buli Master
Bunsen Franz Peter
"Buonanni, Filippo"
"Burne-Jones, Edward, Sir"
"Bush, Andrew"
Bushell Stephen Wootton Dr.
"Bustamante, Jean-Marc"
"Bustelli, Franz Anton"
Byrdcliffe Arts and Crafts Colony
"Böckler, Georg Andreas"
"Böcklin, Arnold"
"Calder, Alexander"
"Callahan, Harry"
Callot Soeurs
Cambridge University Press
"Cameron, Julia Margaret"
"Camilli, Camillo"
"Campin, Robert"
Canaletto (Giovanni Antonio Canal)
"Canova, Antonio"
Caravaggio (Michelangelo Merisi)
"Carducho, Vincente"
"Carlin, Martin"
"Caro, Anthony"
"Carpaccio, Vittore"
"Carpeaux, Jean-Baptiste"
"Carpi, Ugo da"
"Carracci, Annibale"
"Carradori, Francesco"
"Carrington, Leonora"
"Cassatt, Mary"
"Castiglione, Giovanni Benedetto (Il Grechetto)"
Catholic Church
"Cesnola, Luigi Palma di"
Chaignieau
Chakalte'
"Champigneulle, Jacques-Charles"
"Chanel, Gabrielle ""Coco"""
"Chanel, House of"
"Chardin, Jean Siméon"
"Chase, William Merritt"
"Chauvassaignes, Franck-François-Genès"
"Chauvet, Jules Adolphe"
"Chevreul, Michel Eugène"
Chez Desnos
Chez Jubert
"Chippendale, Thomas"
"Chirico, Giorgio de"
Chitarman
"Chizzola, Luigi"
"Choiselat, Marie-Charles-Isidore & Stanislas Ratel"
"Christus, Petrus"
"Church, Frederic Edwin"
Clark John
Claude Laurent
Claude Lorrain (Claude Gellée)
Clodion (Claude Michel)
"Close, Chuck"
Clousier
Cobb John
"Coburn, Alvin Langdon"
"Cochin, Charles Nicolas, I"
"Cochin, Charles Nicolas, II"
"Coggeshall, Patty"
"Cohen, Claudia"
"Cole, Thomas"
"Coleman, Charles Caryl"
"Colin et Cie., Éditeurs"
"Collombat, Jacques"
"Colt, Samuel"
Comme des Garçons
Compagnie des libraires associés
"Condivi, Ascanio"
"Constable, John"
"Conti, Giovan Stefano"
"Convent of Saint Joseph-de-la-Providence, Paris"
"Copley, John Singleton"
"Corot, Camille"
"Cour, Jean"
"Courbet, Gustave"
"Courrèges, André"
Courtois frères
"Cousin, Jean, the Elder"
"Cranach, Lucas, the Elder"
"Crawford, Thomas"
Cristofori Bartolomeo
Croly George Rev.
"Cropsey, Jasper Francis"
"Cross, Henri-Edmond"
"Cuntz, Steffan"
"Curran, John T."
"Curry, John Steuart"
Curtius Ernst
"Custos, Dominicus"
"Cuvelier, Eugène"
"Cézanne, Paul"
"Daddi, Bernardo"
"Dalí, Salvador"
"Dapper, Olfert"
"Daumier, Honoré"
"Davenport, A. H."
"David, Gerard"
"David, Jacques Louis"
"Davis, Joseph H."
"Davis, Stuart"
"De Kooning, Willem"
De Vinne Press
"Deburau, Jean-Charles"
"Degas, Edgar"
"Delacroix, Eugène"
"Delaune, Étienne"
"Demuth, Charles"
Denis de Sainte-Marthe
"Dennis, Thomas"
"Denon, Dominique Vivant Baron"
"Derain, André"
"Desplaces, Louis"
"Deutschmann, Joseph"
"Dewing, Thomas Wilmer"
"Diderot, Denis"
"Didot, François Ambroise"
"Didot, Pierre l'ainé"
Diehl Charles-Guillaume
"Dijon, V."
"Diodati, Ottaviano"
"Dior, Christian"
"Dior, House of"
"Dittrich, Edith"
"Dix, Otto"
"Dodin, Charles Nicolas"
Donatello
"Doucet, Jacques"
"Douglas, Aaron"
Drecoll
"Dresser, Christopher"
"Drouart, Jean"
Du-Art Displays
"Dubuffet, Jean"
Duccio di Buoninsegna
"Duchamp, Marcel"
"Duflos, Claude"
"Dugourc, Jean Démosthène"
"Dunand, Jean"
"Dunn, Henry Treffry"
"Dupas, Jean"
"Duplessis, Jean-Claude"
Durand
"Durand, Asher Brown"
"Dwiggins, William Addison"
"Dyck, Anthony van"
"Dézallier d'Argenville, Antoine Joseph"
"Dürer, Albrecht"
"Eakins, Thomas"
"Earl, Ralph"
"Edmonds, Francis William"
"Edouart, Auguste"
"Eisen, Charles Dominique Joseph"
Elevated Tone Workshop
Elseviers
"Emmoser, Gerhard"
"Enríquez, Nicolás"
Epimenes
Eretria Painter
"Ernst, Max"
"Ertel, Giacomo (Jacob)"
"Esherick, Wharton"
Esposito Giosue
"Estienne, Robert"
"Eugenico, Niccolò"
Euphiletos Painter
"Evans, Walker"
Exekias
"Eyck, Jan van"
Ezra
Factory Additions
"Faigenbaum, Patrick"
"Falls, Charles B."
"Fannière, François-Auguste"
"Fannière, François-Joseph-Louis"
Farid al-Din `Attar
"Farrer, Henry"
Farrukh ibn `Abd al-Latif
Fath House of Jacques
Fath Jacques
"Feininger, T. Lux"
"Fenton, Roger"
"Fernández, Francisco"
Ferragamo Salvatore
"Ferriss, Hugh"
"Fielding, Theodore Henry Adolphus"
"Finlay, Hugh"
"Finlay, John"
"Fisher, Robert"
"Fitch, Julia Ann"
"Fletcher, Thomas"
"Foggini, Giovanni Battista"
"Folengo, Theophilo"
"Fontana, Giovanni Battista"
Ford Tom
"Fort, Louis"
Fortuny
"Fortuny, Mariano"
"Fouquet, Georges"
"Fouquet, Jean"
Fourteen identified German (Augsburg) goldsmiths and other Germa
"Fragonard, Jean Honoré"
Franceschi Francesco de'
Francesco di Giorgio Martini
"Frankl, Paul T."
French
"French, Daniel Chester"
"Freud, Lucian"
"Friedrich, Caspar David"
"Froehner, Wilhelm"
Frémiet Emmanuel
Fulper Pottery Company
"Furman, Warner Williams Sarah"
"Fuss, Adam"
"Fénelon, François de Salignac de La Mothe-"
GONG XIAN
"Gahn, Johann Benedikt"
"Gainsborough, Thomas"
Galeria Arte Global
"Gallet, George"
Galliano John
Ganda
"Gardiner, Sidney"
"Gardner, Alexander"
"Gardner, Caleb"
Garion
"Garnier, Jules"
"Garofolo, Girolamo"
"Garthwaite, Anna Maria"
"Gaucherel, Léon"
"Gaudissard, Emile"
"Gauguin, Paul"
Gaultier Jean Paul
"Gemlich, Ambrosius"
"Gerhaert von Leyden, Niclaus"
"Gericault, Théodore"
"Germain, François Thomas"
"Gernreich, Rudi"
Gervais Elie
"Giacometti, Alberto"
Giambologna
Gianni Versace
"Gibbs, Josiah W. (Josiah Willard)"
"Gifford, Sanford Robinson"
Gilbert John
"Gilbert, S. & T."
"Gilles, Pierre"
Giotto di Bondone
Giovanni di Paolo (Giovanni di Paolo di Grazia)
"Giuntini, Vincenzo"
Givenchy House of
"Givenchy, Hubert de"
"Glackens, William James"
Glassgold A. C.
"Gogh, Vincent van"
Gorham Manufacturing Company
"Gorky, Arshile"
Gotō Yūjō
"Goullons, Jacques"
Govardhan
Goya (Francisco de Goya y Lucientes)
"Graf, Urs"
"Graham, John"
Grancino Giovanni
"Grand-Carteret, John"
Grecke Johan Adolph
"Greco, El (Domenikos Theotokopoulos)"
"Greene, John Beasley"
"Gregori, Carlo"
Grenser H.
"Greuze, Jean-Baptiste"
Grittel Èmile
"Grooms, Red"
"Gros, Jean-Baptiste-Louis"
"Groto, Luigi"
Group of Boston 00.348
Grouwels Lodewijck
"Grès, Madame"
"Guardi, Francesco"
Gucci
Guercino (Giovanni Francesco Barbieri)
Gufram
Guo Xi
"Gursky, Andreas"
"Guston, Philip"
"Guy, Seymour Joseph"
"Guélard, J. B."
"Gérôme, Jean-Léon"
HAN GAN
HUANG TINGJIAN
Haas Johann Wilhelm
Habiballah
Hafiz
"Haghe, Louis"
"Halder, Jacob"
Hallé
"Hals, Frans"
Halston
"Hamilton, Anthony, Count"
"Hammons, David"
"Hannock, Stephen"
Hans of Landshut
Hardy-Mennil
Harper & Brothers
Harris H.
"Hartley, Marsden"
"Hassam, Childe"
"Hathaway, Rufus"
Hatifi
"Hauser, Hermann"
"Hauslaib, Lorenz"
"Hawes, Josiah Johnson"
Hayashi Kodenji
"Hayashi, Tadamasa"
"Heade, Martin Johnson"
"Healy, George P. A."
Heavenly Monkey
"Heiglen, Johann Erhard"
Heinrich of Constance Master
"Helmschmid, Kolman"
"Henle, Jan"
"Hepplewhite, A. & Co."
"Hepworth, Barbara"
Herter Brothers
"Hey, Jean (called Master of Moulins)"
"Hicks, Edward"
Hill and Adamson
"Hill, David Octavius"
"Hine, Lewis"
Hirschfeld Workshop
"Hobcraft, John"
"Hodgson, Barbara"
"Hoentschel, Georges"
"Hoffmann, Josef"
Hofmann Ferdinand
"Holbein, Hans, the Younger"
"Holden, Richard"
"Homer, Winslow"
"Hooch, Pieter de"
"Hooghe, Romeyn de"
"Hopper, Edward"
"Houdon, Jean Antoine"
Houghton Mifflin Company
"Houry, Laurent Charles d'"
Hugo Boss
Huizong Emperor
Hukin & Heath
"Humbert, de Superville David-Pierre Giottino"
"Humblot, Antoine"
"Hunter, Dard"
"Hunzinger, George Jakob"
HÉBRARD A. A.
"Hérissant, La Veuve"
"Ibn al-Suhrawardi al-Bakri, Ahmad"
Imperial Armory
"Imperial Porcelain Manufactory, St. Petersburg"
Imprimerie de Testu
Ince William
Ince and Mayhew
"Ingham, Charles Cromwell"
"Ingres, Jean Auguste Dominique"
"Inness, George"
Ishiguro Masayoshi
Italian
"Italian, Siena"
Itoh Takuo
Iwamoto Konkan
"Iyetada, Saotome"
Ja'far ibn Muhammad ibn `Ali
"Jackson, Samuel"
"Jacob, Georges"
Jacob-Desmalter François-Honoré-Georges
"Jacobs, Marc"
Jacometto (Jacometto Veneziano)
"Jacques, Maurice"
James Charles
Jeffrey & Co.
John Devall & Co.
"Johns, Jasper"
"Johnson, David"
"Johnson, Eastman"
"Johnson, James Weldon"
"Joly, Robert "
"Jombert, Charles Antoine"
"Jones, Owen"
Joubert Gilles
"Juvenal, Decimus Junius"
Kamal Muhammad
Kamali Norma
"Kandinsky, Vasily"
Kang Ji
Kano Sansetsu
"Kapoor, Anish"
"Kaunitz-Rietberg, Prince Wenzel von"
"Kelly, Ellsworth"
"Kensett, John Frederick"
Kephisodotos
"Kertész, André"
"Kiefer, Anselm"
"Kierstede, Cornelius"
"Kilburn, (or Kilbrunn) Lawrence"
"Kim, Kwang Ju"
Kintzing Christian
Kirchner Athanasius
Kirchner Johann Gottlieb
"Klee, Paul"
Kleihnans
"Klein, William"
"Klimt, Gustav"
"Knoedler, M., & Co."
Koyate Mamadou
"Krasner, Lee"
Kunitoshi Rai
"Kuntz, Jacob"
Kunz George Frederick
"Käsebier, Gertrude"
Kōrin
L'Imprimerie Royale
LEINBERGER HANS
LIMOSIN LÉONARD
LIONARDO
"La Farge, John"
"La Fontaine, Jean de"
"La Porte du Theil, François Jean Gabriel de"
"La Tour, Georges de"
La Veuve Besongne & Fils
"Lachaise, Gaston"
Lacroix Christian
"Lalique, René-Jules"
"Lambert, Michel"
"Lamire, Leon"
"Landon, Charles-Paul"
"Lane, Fitz Henry"
"Lange, Dorothea"
Langenbucher Veit
Langlois
Langlois Peter
"Lannuier, Charles-Honoré"
"Lanvin, House of"
"Lanvin, Jeanne"
"Latapie, François de Paule"
"Lavaur, M. (Guillaume de)"
"Lavezzola, Alberto"
"Lawrence, Jacob"
"Lawrence, Thomas, Sir"
"Le Bourgeois, Marin"
"Le Bourgeois, Pierre"
"Le Brun, Charles"
"Le Gray, Gustave"
"Le Moine, L. H."
Le Roux Hugues
"Le Secq, Henri-Jean-Louis"
"Leary, Timothy"
Lekeux Peter
Lemoyen le Lorrain Jean
Lemoyne Jean-Louis
"Leonard, Robert"
Leonardo da Vinci
"Lepsius, Richard"
"Leutze, Emanuel"
"Leyden, Lucas van"
"Lichtenstein, Roy"
"Liger, C."
"Lilley, Robert"
"Lippi, Filippino"
"Lippi, Fra Filippo"
"Lissitzky, El"
"Lochner, Kunz"
"Lodigiani, Luigi"
"Lomazzo, Giovanni Paolo"
"Lonberg-Holm, Knud"
London Society of Cabinet Makers
"Longfellow, Henry Wadsworth"
"Lorenzetti, Pietro"
Lorenzo Monaco (Piero di Giovanni)
"Lotto, Lorenzo"
"Louis, Morris"
Louiseboulanger
"Lucas, David"
Lycurgus Painter
Lydos
Lysippides Painter
"Léger, Fernand"
"Lévy-Dhurmer, Lucien"
"López, Francisco"
MEMPHIS MILANO
"MacMonnies, Frederick William"
"MacNeil, Hermon Atkins"
"Mackintosh, Charles Rennie"
Maestro delle Storie del Pane
Mahmud Muzahib
"Maiano, Giuliano da"
Mainbocher
Maison Léoty
"Malato, Enrico"
Malory Thomas Sir
Malthus Francis
Man Ray
"Manet, Édouard"
Mannello Angelo
Manohar
"Mantegna, Andrea"
Manufacture Nationale des Gobelins
Marcilly
"Marin, John"
Marius Michel et fils
"Marmitta, Francesco"
"Marquet, Albert"
"Martel, Charles"
Martin Christian Frederick
"Martin, Docteur (Louis)"
Martinellie Domenico
"Martinez, Juan"
"Martini, Simone"
"Martínez, Francisco"
Martínez Montañés Juan
Master IC
Master Potter A
Master of Saint Francis
Master of the Codex of Saint George
Master of the Martyrdom of St. Sebastian
"Matisse, Henri"
"Matta, Roberto"
"Matta-Clark, Gordon"
Maulana Azhar
Mayhew John
"Mazzinelli, Alessandro"
McCardell Claire
"McIntire, Samuel"
McQueen Alexander
"Mead, Larkin Goldsmith"
"Meares, Richard"
Medici Porcelain Factory
Meissen Manufactory
Mekeren Jan van
"Memling, Hans"
"Merwede, Matthuys van de, Lord of Clootwyck"
"Messerschmidt, Franz Xaver"
Metropolitan Museum of Art
"Metzker, Ray K."
"Metzner, Ralph"
"Michaux, Henri"
Michelangelo Buonarroti
"Mies van der Rohe, Ludwig"
"Mignard, Pierre"
"Miller, Herman Inc."
"Miller, Sally"
"Milton, John"
Min Qiji
Ministère de l'intérieur
Mir 'Ali Haravi
"Miró, Joan"
Miskin
"Model, Lisette"
"Modigliani, Amedeo"
"Molière, Jean-Baptiste Poquelin"
"Molyneux, Edward"
"Monet, Claude"
"Monnet, Jean"
"Montecuccoli, Raimondo, Prince"
Montespan Marquise de
"Moreau, Jean Michel, the Younger"
"Morgan, J. Pierpont"
"Morice, Charles"
Morisset James
Morris & Company
"Morris, Marshall, Faulkner & Co."
"Morris, William"
"Morse, Samuel F. B."
Mosca Simone
"Motherwell, Robert"
"Mouchon, Pierre"
"Moulin, Félix-Jacques-Antoine"
"Mount, William Sidney"
"Moura Portugal, Bento de"
"Moynet, Simon"
"Mozart, Anton"
Muhammad Chand
Muhammad Husain Kashmiri
Muhammad ibn Aibak ibn 'Abdallah
Muhammad ibn Badr al-Din Jajarmi
"Muneakira, Myōchin"
"Munesuke, Myōchin"
"Muniz, Vik"
"Munro, Rebekah S."
"Murer, Christoph"
"Murillo, Bartolomé Estebán"
"Murray, Elizabeth"
Museu de Arte Moderna
Muslim Ibn al-Dahhan
Mustafa b. Yusuf al-Darir al-Erzerumi
"Myers, Myer"
Mynardo Giovanni
"Müller, Karl L. H."
Nadar
"Naeplaesnigg, Andreas"
"Nannini, Remigio"
"Naville, Édouard F."
Nearchos
"Negroli, Filippo"
"Neilson, Jacques"
New Bremen Glass Manufactory 
Niccolò di Buonaccorso
Nicola da Urbino
"Nie, Chongyi"
"Nimmo, J. C. and Bain"
Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja)
"Noguchi, Isamu"
Norman Barak
"Noyse von Campenhouten, Johann Engelbert"
Nunns Robert
Nymphenburg Porcelain Manufactory
"Nègre, Charles"
"O'Keeffe, Georgia"
"O'Sullivan, Timothy H."
"Oberlender, Johann Wilhelm"
"Oeben, Jean-François"
"Ohr, George E."
"Oiticica, Hélio"
"Oldenburg, Claes"
Olowe of Ise
"Ongania, Ferdinando"
"Onofri, Basilio"
Oppenordt Alexandre-Jean
"Orley, Bernard van"
Osservanza Master
"Ostade, Adriaen van"
"Ostendorfer, Michael"
Ovid
PBM
PUCELLE JEAN
"Pabst, Daniel"
"Pacetti, Giovanni Battista"
"Pacetti, Vincenzo"
Padeloup
Painter of the Woolly Satyrs
"Pajou, Augustin"
"Palissy, Bernard"
"Palladio, Andrea"
"Palmer, Erastus Dow"
"Panini, Giovanni Paolo"
"Pannemaker, Pieter de"
Pantin Simon I
"Pape, Lygia"
Paquin House of
Paquin Jeanne
"Passeri, Giuseppe"
"Patinir, Joachim"
"Patisson, Mamert"
"Patou, House of"
"Peale, Charles Willson"
"Peale, James"
"Peale, Raphaelle"
"Peale, Rembrandt"
"Peck, Peter"
"Pellerin, Baptiste"
"Penn, Irving"
Penthesilea Painter
"Percier, Charles"
Pere Alexandre & Fils
Perino del Vaga (Pietro Buonaccorsi)
Permoser Balthasar
"Pernon, Camille"
Persephone Painter
Persius
"Peruzzi, Baldassare Tommaso"
Pesquera Diego de
Petronius Arbiter
Pfau David II
Pfau Hans Heinrich III
"Phyfe, Duncan"
"Picasso, Pablo"
Piero di Cosimo (Piero di Lorenzo di Piero d'Antonio)
Pierre Paupie
Pierre de Goesin
"Pigna, Giovanni Battista"
"Pippin, Horace"
"Piranesi, Giovanni Battista"
"Pisano, Giovanni"
"Pithou, Pierre"
"Plandome Press, Inc."
"Plon E., Nourrit et Cie."
Plutarch
"Poiret, Paul"
"Polke, Sigmar"
"Pollaiuolo, Antonio"
"Pollock, Jackson"
Polykleitos
Polyteleia Painter
"Pons, Joseph"
"Porro, Girolamo"
"Porta, Guglielmo della"
"Porthaux, Dominique Antony"
Pottier and Stymus Manufacturing Company
"Poussin, Nicolas"
"Powers, Hiram"
"Pratt, Matthew"
"Prendergast, Maurice Brazil"
"Price, William Lightfoot"
Prince Lu
"Prince, Richard"
"Proctor, Alexander Phimister"
"Prutscher, Otto"
QIAN XUAN
QU DING
Qasim ibn 'Ali
"Raimondi, Marcantonio"
"Ramírez, Manuel"
Raphael (Raffaello Sanzio or Santi)
"Ratel, Stanislas"
"Rauschenberg, Robert"
"Ray, Charles"
Reboux Caroline
Redlin Michel
"Reiff, Jacob"
Rembrandt (Rembrandt van Rijn)
"Remington, Frederic"
"Renoir, Auguste"
"Revere, Paul, Jr."
"Reynolds, Joshua, Sir"
"Ribera, Jusepe de (called Lo Spagnoletto)"
"Richards, William Trost"
"Richters, Hendrik"
"Ridolfi, Carlo"
Riemenschneider Tilman
"Riesener, Jean Henri"
"Ringgold, Faith"
Riza-yi `Abbasi
"Robbia, Andrea della"
"Robert, Louis-Rémy"
"Roberts, David"
"Roché, H. P."
"Rodin, Auguste"
"Rodríguez Juárez, Juan"
"Roentgen, David"
Rogier van der Weyden
"Rohde, Gilbert"
"Rood, Ogden Nicholas"
Rose Joseph
"Rosenquist, James"
Rosenstein Nettie
Rossberg Herman
"Rossellino, Antonio"
"Rossetti, Dante Gabriel"
"Rossi, Giovanni Giacomo De"
"Rota, Giovanni"
"Roth, Heinrich"
"Rothko, Mark"
"Rousseau, Henri (le Douanier)"
"Roux, Alexander"
"Rovner, Michal"
Royal Asiatic Society
Royal Workshops at Greenwich
"Rubens, Peter Paul"
"Ruff, Thomas"
"Ruhlmann, Émile-Jacques"
"Ruisdael, Jacob van"
"Ruscelli, Girolamo (Alessio Piemontese)"
"Rush, William"
Rébè
"Régamey, Félix"
"Rémond, Pierre"
"Saarinen, Eliel"
Saint Laurent Yves
"Saint Laurent Yves, Paris"
"Saint-Gaudens, Augustus"
Salerno Editrice
Salvioni
"Sander, August"
Sant'Angelo Giorgio
"Sargent, John Singer"
"Sarto, Andrea del (Andrea d'Agnolo)"
"Sax, Charles Joseph"
"Scherer, Georg Henrich"
Schiaparelli Elsa
"Schiele, Egon"
"Schmidt, Jacob"
Scholte
"Schongauer, Martin"
Schramberg Majolica Factory
"Schrenck von Nozing, Jacob"
"Schroll, A."
"Schuech, Israel"
"Searle, William"
"Seeley, George H."
"Sellas, Matteo"
"Serlio, Sebastiano"
Sesson Shūkei
"Seurat, Georges"
Shah Quli
Shaykh Zada
"Sheeler, Charles"
"Sheraton, Thomas"
"Sherman, Cindy"
"Signac, Paul"
"Siloe, Gil de"
"Silve, David"
Simca Print Artists Inc.
Simier
Sioux
"Smibert, John"
"Smith, David"
"Smith, John Rubens"
"Smithson, Robert"
"Soligny, Eugene J."
"Sottsass, Ettore"
"Soudbinine, Séraphin"
"Soufflot, Jacques Germain"
Southworth and Hawes
"Southworth, Albert Sands"
"Sparre, Baron de"
Spaulding and Company
"Spranger, Bartholomeus"
"Stazio, Abbondio"
"Steen, Jan"
"Steichen, Edward J."
"Steinert, Otto"
Stephens John Lloyd
"Stiegel, Henry William"
"Stieglitz, Alfred"
"Still, Clyfford"
"Stimmer, Tobias"
"Story, William Wetmore"
"Stradivari, Antonio"
"Strahan, Edward"
"Strand, Paul"
"Struth, Thomas"
"Stuart, Gilbert"
Studio 65
"Sugimoto, Hiroshi"
Sukemitsu of Bizen
"Sully, Thomas"
Sulpicia
Sultan Muhammad
Sultan Muhammad Nur
Sultan Murad III
Suzi
"Sweerts, Michiel"
Sèvres Manufactory
"Tachaux, Daniel"
"Talbot, William Henry Fox"
"Tanner, Henry Ossawa"
"Targee, John"
Tarnowski Jan and Valeria Count and Countess
Tarporley Painter
"Taylor, I. & J."
Tecchler David
Teijo Goto
"Tekelü, Ahmed"
"Tencalla, Carpoforo Mazzetti"
Teng Yeohlee
"Tessier, Louis"
The Limbourg Brothers
Thibault Girard
"Thiout, Antoine"
"Thiroux d'Arconville, Marie Geneviève Charlotte Darlus"
"Thomas, Auguste H."
"Thomassin, Henri Simon"
Tielke Joachim
"Tiepolo, Giovanni Battista"
"Tiepolo, Giovanni Domenico"
Tiffany & Co.
Tiffany Glass and Decorating Company
"Tiffany, Louis Comfort"
"Tindale, Thomas & Harriet R."
"Tinguely, Jean"
"Tissot, Jean-Claude"
Titian (Tiziano Vecellio)
"Todini, Michele"
Toft Thomas
Tong zhi tang
"Toulouse-Lautrec, Henri de"
"Tournachon, Adrien"
Townley
"Townsend, John"
"Treviso, Girolamo da"
"Trumbull, John"
"Turner, Joseph Mallord William"
Ugolino da Siena (Ugolino di Nerio)
Umbo (Otto Umbehr)
Ungaro Emanuel
Unidentified Artist
Unknown
"Uzanne, Octave"
Valentin de Boulogne
Valentina
"Vali, Mustafa ibn"
"Vallotton, Félix"
"Vallou-de-Villeneuve, Julien"
Vandercruse Roger called Lacroix
"Vanderlyn, John"
Vasaro Giovanni Maria
"Vasters, Reinhold"
Velázquez (Diego Rodríguez de Silva y Velázquez)
"Vermeer, Johannes"
"Verona, Stefano da"
"Veronese, Paolo (Paolo Caliari)"
Versace Gianni
"Vignola, Jacopo [Giacomo] Barozzi da"
Viking Press
"Vile, William"
"Villon, Jacques"
Vincennes Manufactory
"Vionnet, Madeleine"
Voboam Jean-Baptiste
"Voiriot, Guillaume"
"Voll, Georg"
"Vollard, Ambroise"
Voltaire
"Vonnoh, Bessie Potter"
"Vuillard, Édouard"
Vuillaume Jean Baptiste
Vuitton Louis
WILCOX SILVER
Walbaum Matthias
"Wall, Jeff"
Wang Hui
"Wang, Fu"
"Wang, Shifu"
"Ward, John Quincy Adams"
"Warhol, Andy"
"Waring, J. B."
"Washburn, Ives"
Watanabe Junya
"Watkins, Carleton E."
"Watteau, Antoine"
Webb Philip
"Weber, Max"
"Wedgwood and Sons, Josiah"
"Wedgwood, Josiah"
Weeks
"Wesenbeke, Jacques de"
"West, Benjamin"
"Westmacott, Richard, Sir"
"Westwood, J. O."
"Westwood, Vivienne"
"Whately, Thomas"
"Whipple, John Adams"
"Whistler, James McNeill"
