Object Number,variable,role
6.1312,0,Maker
6.1312,1,Maker
6.306,0,Artist
"60.29.1a, b",0,Maker
60.3,0,Artist
60.4.1,0,Maker
60.87,0,Artist
61.101.1,0,Artist
61.101.16,0,Artist
61.101.17,0,Artist
61.198,0,Artist
61.200.1,0,Artist
62.126,0,Artist
62.16,0,Maker
62.189,0,Artist
62.256.3,0,Artist
62.55,0,Artist
62.79.1,0,Artist
62.79.2,0,Artist
62.95,0,Artist
62.96,0,Artist
63.1,0,Artist
63.11.6,0,
63.11.6,1,
63.11.6,2,
63.178.1,0,Maker
63.201.1,0,Artist
63.210.11,0,Author
63.210.11,1,Artist
63.350.246.206.378,0,Publisher
63.4,0,Artist
63.73,0,Artist
64.148,0,Artist
64.79,0,Maker
64.79,1,Maker
65.167.6,0,Maker
65.167.6,1,Maker
65.247,0,Artist
65.47,0,Manufactory
65.49,0,Artist
66.113,0,Artist
66.126,0,Artist
66.143,0,Artist
66.244.1-.25,0,Artist
67.110.1,0,Artist
67.110.1,1,Patron
67.187.121,0,Artist
67.187.123,0,Artist
67.187.53a-c,0,Artist
67.197,0,Artist
67.232,0,Artist
67.241,0,Artist
67.25,0,Artist
67.855,0,Printer
67.855,1,Printer
67.855,2,Artist
67.855,3,Publisher
68.1,0,Artist
68.100.1,0,Maker
68.141.81a–f,0,Maker
68.185,0,Artist
69.113,0,Artist
"69.140a, b",0,Maker
69.27,0,Poet
69.27,1,Artist
69.88,0,Artist
7.122,0,Artist
7.123,0,Artist
7.16,0,Artist
7.79,0,Artist
72.3,0,Artist
74.24,0,Artist
75.7.2,0,Artist
"77.9a, b",0,Designer
"77.9a, b",1,Manufacturer
"77.9a, b",2,Decorator
"77.9a, b",3,Designer
8.228,0,Artist
80.1.2,0,Artist
87.25,0,Artist
87.8.8,0,Artist
88.5a–d,0,Artist
89.15.19,0,Artist
89.15.21,0,Artist
89.21.1,0,Artist
89.4.1097,0,Maker
89.4.1191,0,Maker
89.4.1191,1,Maker
89.4.1196,0,Maker
89.4.1219,0,Maker
89.4.1236,0,Maker
89.4.2058,0,Maker
89.4.2375,0,Maker
"89.4.2631 a, b",0,Maker
"89.4.28 a, b",0,Maker
89.4.2883,0,Maker
89.4.2929a–e,0,Designer
89.4.2929a–e,1,Artist
89.4.2929a–e,2,Artist
89.4.909,0,Maker
89.4.912,0,Maker
89.4.924,0,Maker
89.4.926,0,Culture
9.95,0,Artist
903.6 R541 F,0,Author
903.6 R541 F,1,Author
903.6 R541 F,2,Author
91.1.535a–h,0,Maker
911.1. M362,0,Author
912.1 K63 Q,0,Author
912.63 D23,0,Author
916.3 An4 F,0,Author
920.3 W52 F,0,Author
920.84 M292,0,Author
920.84 M292,1,Illustrator
926.1 M642,0,Author
94.14,0,Artist
94.4.172,0,Factory
94.9.3,0,Artist
959.9 M292,0,Author
96.17.10,0,Designer
96.17.10,1,Maker
96.29,0,Artist
97.13.1,0,Artist
97.19,0,Artist
97.29.3,0,Artist
97.33,0,Artist
97.34,0,Artist
99.2,0,Manufacturer
99.2,1,Designer
99.31,0,Artist
AE25 .E53 1751 Q,0,Publisher
AE25 .E53 1751 Q,1,Author
AE25 .E53 1751 Q,2,Author
AE25 .E531 1762 Q,0,Author
AE25 .E531 1762 Q,1,Publisher
AE25 .E531 1762 Q,2,Author
AE25 .E531 1762 Q,3,Author
AE25 .E532 1758 Q,0,Author
AE25 .E532 1758 Q,1,Publisher
AE25 .E532 1758 Q,2,Author
AE25 .E532 1758 Q,3,Author
AE25 .E533 1765 Q,0,Publisher
AE25 .E533 1765 Q,1,Author
AY831 .Z7 1783,0,Publisher
AY831 .Z7 1784,0,Printer
AY831 .Z7 1784,1,Author
AY831 .Z7 1784a,0,Publisher
AY831 .Z7 1788,0,Publisher
AY831 .Z7 1792,0,Editor
AY831 .Z7 1792,1,Publisher
BF207 .L4 1972,0,Author
BF207 .L4 1972,1,Author
BF207 .L4 1972,2,Author
BF209.M4 M5313 1963,0,Author
BS75 1785b Q,0,Printer
BS75 1785b Q,1,Author
BV4823 .D48 1741,0,Designer
BV4823 .D48 1741,1,Engraver
BV4823 .D48 1741,2,Engraver
BV4834 .A75 1696,0,Author
BX2010 .A2 1794,0,Author
BX2010 .A2 1794,1,Artist
BX2010 .A2 1794,2,Author
BX2010 .A2 1794,3,Artist
BX2010 .A2 1794,4,Artist
BX2010 .A2 1794,5,Publisher
BX2016.A5 F7 1792,0,Author
BX2016.A5 F7 1792,1,Publisher
BX9454 .S25 1688,0,Printer
BX9454 .S25 1688,1,Author
C.I.42.33.3,0,Designer
C.I.44.64.8a–c,0,Designer
C.I.44.64.8a–c,1,Design House
"C.I.45.27a, b",0,Designer
"C.I.46.4.18a, b",0,Designer
"C.I.46.4.18a, b",1,Design House
C.I.46.4.20a–c,0,Design House
"C.I.46.57a, b",0,Designer
C.I.50.110a–j,0,Designer
C.I.50.44,0,Designer
C.I.50.44,1,Design House
C.I.51.83,0,Designer
C.I.52.18.4,0,Designer
C.I.52.5.2,0,Design House
C.I.53.40.7a–e,0,Designer
C.I.53.40.7a–e,1,Design House
C.I.53.73,0,Designer
"C.I.54.16.1a, b",0,Designer
"C.I.54.16.1a, b",1,Design House
C.I.57.17.3,0,Designer
"C.I.58.13.6a, b",0,Designer
"C.I.58.13.6a, b",1,Design House
C.I.58.25a–c,0,Designer
C.I.58.34.30,0,Designer
C.I.58.34.30,1,Design House
"C.I.58.49.4a, b",0,Designer
"C.I.58.49.4a, b",1,Manufacturer
"C.I.60.21.1a, b",0,Designer
"C.I.60.21.1a, b",1,Design House
C.I.61.40.4,0,Designer
C.I.66.14.2,0,Designer
C.I.66.14.2,1,Manufacturer
C.I.68.53.5a–h,0,Designer
C.I.69.23,0,Designer
C.I.69.23,1,Design House
C.I.X.56.2.1,0,Design House
C.I.X.56.2.1,1,Designer
DA447.G7 H26 1876,0,Author
DA447.G7 H26 1876,1,Illustrator
DA447.G7 H26 1876,2,Printer
DA447.G7 H26 1876,3,Binder
DC122.8 .P413 1785,0,Translator
DC122.8 .P413 1785,1,Author
DC130.L14 L14 1749,0,Author
DC611.N846 A5 1788,0,Publisher
DH188.H67 W47 1568,0,Author
F595 .R38 1895,0,Publisher
F595 .R38 1895,1,Artist
G150 .A45 1820,0,Publisher
GB1321 .M68 1766,0,Author
GT2050 .U813 1884,0,Illustrator
GT2050 .U813 1884,1,Publisher
GT2050 .U813 1884,2,Author
GV1801 .L6 1889,0,Author
GV1801 .L6 1889,1,Illustrator
GV1801 .L6 1889,2,Publisher
KKL273.1.Z94 C4 1815,0,Binder
"L.2009.22.279a, b",0,Maker
M2149.5 .C5 1768,0,Author
M2149.5 .C5 1768,1,Calligrapher
N6659.P32 A4 1976,0,Publisher
N6659.P32 A4 1976,1,Author
N6659.P32 A4 1976,2,Author
N7433.4.B76 P43 1966,0,Artist
N7433.4.C65 D43 2015,0,Printer
N7433.4.C65 D43 2015,1,Publisher
N7433.4.C65 D43 2015,2,Artist
N7433.4.C65 D43 2015,3,Artist
NC765 .A9 1683 Q,0,Printmaker
ND3365.G7 B74 2009a Q,0,Editor
ND3365.G7 B74 2009a Q,1,Editor
ND3365.G7 B74 2009a Q,2,Author
ND3365.G7 B74 2009a Q,3,Publisher
ND616 .G35 1812,0,Editor
ND616 .G35 1812,1,Printer
ND616 .G35 1812,2,Binder
NE2049.5.W38 W38 1710,0,Artist
NE2049.5.W38 W38 1710,1,Engraver
NE2049.5.W38 W38 1710,2,Engraver
NE2049.5.W38 W38 1710,3,Engraver
NE2049.5.W38 W38 1710,4,Binder
NK1483 .J7 1867 Q,0,Publisher
NK1483 .J7 1867 Q,1,Author
NK1510 .J7 1868 Q,0,Author
NK1510 .J7 1868 Q,1,Artist
NK1510 .J7 1868 Q,2,Artist
NK1510 .J7 1868 Q,3,Publisher
NK1510 .J7 1868 Q,4,Artist
NK1530 .A5 1930,0,Publisher
NK1530 .A5 1930,1,Editor
NK1530 .A5 1930,2,Editor
NK1530 .A5 1930,3,Author
NK1700 .I57 Q v.1 1900,0,Publisher
NK1700 .I57 Q v.1 1900,1,Editor
NK1700 .I57 Q v.2 1901,0,Publisher
NK1700 .I57 Q v.2 1901,1,Editor
NK2229 .S54 1793,0,Publisher
NK2229 .S54 1793,1,Printer
NK2229 .S54 1793,2,Author
NK7983.A1 W36 1752,0,Author
NX511.A88 A88 1971 Quarto,0,Editor
NX511.A88 A88 1971 Quarto,1,Editor
NX511.A88 A88 1971 Quarto,2,Author
PA4375.M8 D3 1772,0,Author
PA4375.M8 D3 1772,1,Publisher
PA4375.M8 D3 1772,2,Artist
PA6525.H4 N3 1762,0,Author
PA6525.H4 N3 1762,1,Illustrator
PA6525.H4 N3 1762,2,Publisher
PA6525.H4 N3 1762,3,Author
PA6525.H4 N3 1762,4,Translator
PA6555 .A2 1585,0,Author
PA6555 .A2 1585,1,Author
PA6555 .A2 1585,2,Author
PA6555 .A2 1585,3,Publisher
PA6555 .A2 1585,4,Printer
PA6555 .A2 1585,5,Author
PA6558 .A5 1726,0,Author
PA6558 .A5 1726,1,Author
PL2693.H76 H74 1977 Quarto,0,Author
PL2693.H76 H74 1977 Quarto,1,Artist
PL2693.H76 H74 1977 Quarto,2,Author
PN1489 .M37 1651,0,Author
PN1489 .M37 1651,1,Author
PN1489 .M37 1651,2,Binder
PN1489 .M37 1651,3,Author
PN1489 .M37 1651,4,Author
PN6231.P6 B63 1669,0,Printer
PN6231.P6 B63 1669,1,Author
PN6231.P6 B63 1669,2,Binder
PN6231.P6 B63 1669,3,Author
PQ1189 .M66 1765,0,Publisher
PQ1189 .M66 1765,1,Author
PQ1189 .M66 1765,2,Author
PQ1795 .T5 1790,0,Author
PQ1795 .T5 1790,1,Engraver
PQ1795 .T5 1790,2,Engraver
PQ1795 .T5 1790,3,Binder
PQ1809 .A1 1795,0,Author
PQ1809 .A1 1795,1,Author
PQ1809 .A1 1795,2,Draftsman
PQ1809 .A1 1795,3,Printer
PQ1821 1773,0,Author
PQ1821 1773,1,Printer
PQ1821 1773,2,Author
PQ1821 1773,3,Author
PQ1821 1773,4,Illustrator
PQ1821 1773,5,Illustrator
PQ1821 1773,6,Publisher
PQ1954.A54 L4 1741,0,Author
PQ1954.A54 L4 1741,1,Publisher
PQ2067.T28 D4 1770,0,Author
PQ2067.T28 D4 1770,1,Author
PQ2067.T28 D4 1770,2,Publisher
PQ4272.F5 A34 1697,0,Binder
PQ4272.F5 A34 1697,1,Printer
PQ4272.F5 A34 1697,2,Author
PQ4272.F5 A34 1697,3,Printmaker
PQ4567 .A2 1584,0,Author
PQ4567 .A2 1584,1,Author
PQ4567 .A2 1584,2,Author
PQ4567 .A2 1584,3,Author
PQ4567 .A2 1584,4,Author
PQ4567 .A2 1584,5,Author
PQ4567 .A2 1584,6,Author
PQ4567 .A2 1584,7,Author
PQ4567 .A2 1584,8,Author
PQ4567 .A2 1584,9,Author
PQ4567 .A2 1584,10,Publisher
PQ4567 .A2 1584,11,Engraver
PS2267 .A1 1891,0,Publisher
PS2267 .A1 1891,1,Illustrator
PS2267 .A1 1891,2,Author
PS3519.O2625 G6 1927,0,Artist
PS3519.O2625 G6 1927,1,Author
PS3519.O2625 G6 1927,2,Publisher
PS3519.O2625 G6 1927,3,Artist
QB7 .C15 1772,0,Publisher
SB472.32.E54 W48 1771,0,Translator
SB472.32.E54 W48 1771,1,Author
SB472.32.E54 W48 1771,2,Publisher
TA71 .F73 1829,0,Author
TA71 .F73 1829,1,Publisher
TL620.A1 A6 1784,0,Publisher
TL620.A1 A6 1784a,0,Publisher
TS1484 .B56 1777,0,Author
TS1484 .B56 1777,1,Publisher
U101 .M7814 1760,0,Author
U565 .S68 1740,0,Author
U565 .S68 1740,1,Binder
U820.A9 S34 1603 F,0,Author
U820.A9 S34 1603 F,1,Translator
U820.A9 S34 1603 F,2,Publisher
U820.A9 S34 1603 F,3,Engraver
U820.A9 S34 1603 F,4,Illustrator
UD S83 1842 v.1,0,Author
UD S83 1843 v.2,0,Author
